v11,freq,v1,land
ehinger,6,ehinger weg,Deutschland
das,6,das tolle rott,Deutschland
herman,6,herman uhlig platz,Deutschland
eppendorfer,6,eppendorfer  weg,Deutschland
albertus,6,albertus weg,Deutschland
marianne,6,marianne weber  straße,Deutschland
georgs,6,georgs  weg,Deutschland
schenefelder,6,schenefelder  straße,Deutschland
eckener,6,eckener  weg,Deutschland
theobald,6,theobald ziegler  straße,Deutschland
alban,6,alban ring,Deutschland
großes,6,großes schloß,Deutschland
erfurter,6,erfurter  weg,Deutschland
elfriede,6,elfriede tygör  straße,Deutschland
op'n,6,op'n klint,Deutschland
deutsche,6,deutsche telekom allee,Deutschland
rechberg,6,rechberg  straße,Deutschland
pfälzer,6,pfälzer  weg,Deutschland
charles,6,charles roß ring,Deutschland
park,6,park weg,Deutschland
loher,6,loher  weg,Deutschland
ginnheimer,6,ginnheimer waldgasse,Deutschland
lüneburger,6,lüneburger tor,Deutschland
therese,6,therese wüllenweber platz,Deutschland
siemens,6,siemens  straße,Deutschland
goldene,6,goldene linie,Deutschland
sieben,6,sieben zeilen,Deutschland
gorch,6,gorch fock  weg,Deutschland
lothar,6,lothar streit  straße,Deutschland
hohes,6,hohes ufer,Deutschland
amtmann,6,amtmann winter  straße,Deutschland
oldenburger,6,oldenburger  weg,Deutschland
samuel,6,samuel heinicke  straße,Deutschland
schmale,6,schmale teile,Deutschland
hafen,6,hafen weg,Deutschland
petersburger,6,petersburger  straße,Deutschland
horner,6,horner  weg,Deutschland
heidelberger,6,heidelberger  weg,Deutschland
hubertus,6,hubertus,Deutschland
vitus,6,vitus straße,Deutschland
charlottenburger,6,charlottenburger  weg,Deutschland
hinrich,6,hinrich wilhelm kopf  weg,Deutschland
langes,6,langes tal,Deutschland
hanne,6,hanne wondrak  straße,Deutschland
schöne,6,schöne reihe,Deutschland
humboldt,6,humboldt  straße,Deutschland
rauher,6,rauher  weg,Deutschland
regensburger,6,regensburger tor platz,Deutschland
rochus,6,rochus  straße,Deutschland
wendel,6,wendel weg,Deutschland
letter,6,letter weg,Deutschland
danziger,6,danziger  weg,Deutschland
antonius,6,antonius  straße,Deutschland
see,6,see weg süd,Deutschland
heiner,6,heiner stuhlfauth  straße,Deutschland
marien,6,marien  straße,Deutschland
frieda,6,frieda straße,Deutschland
wied,6,wied weg,Deutschland
charlotte,6,charlotte krenzer  straße,Deutschland
groote,6,groote  straße,Deutschland
dora,6,dora twiete,Deutschland
magnus,6,magnus  straße,Deutschland
gewerbering,6,gewerbering west,Deutschland
linder,6,linder  weg,Deutschland
neuen,6,neuen weg straße,Deutschland
benrather,6,benrather  straße,Deutschland
linden,6,linden weg,Deutschland
süd,6,süd weg,Deutschland
martins,6,martins  weg,Deutschland
hartmann,6,hartmann weg,Deutschland
olvenstedter,6,olvenstedter  straße,Deutschland
den,6,den hoff  straße,Deutschland
rainer,6,rainer werner fassbinder platz,Deutschland
sülldorfer,6,sülldorfer  weg,Deutschland
ring,6,ring weg,Deutschland
glück,6,glück straße,Deutschland
reichenberger,6,reichenberger  weg,Deutschland
brenner,6,brenner  straße,Deutschland
escher,6,escher wyss  straße,Deutschland
don,6,don   ugoletti   platz,Deutschland
carsten,6,carsten schulte  straße,Deutschland
köln,6,köln straße/schloß straße,Deutschland
weidenwang,6,weidenwang k,Deutschland
bruder,6,bruder konrad  straße,Deutschland
rupert,6,rupert  straße,Deutschland
markus,6,markus  straße,Deutschland
salvador,6,salvador dali  weg,Deutschland
wohnpark,6,wohnpark straße,Deutschland
kieler,6,kieler  weg,Deutschland
stemmer,6,stemmer weingarten,Deutschland
sander,6,sander  weg,Deutschland
göttinger,6,göttinger  weg,Deutschland
rudolph,6,rudolph straße,Deutschland
rhein,6,rhein weg,Deutschland
emanuel,6,emanuel wurm  straße,Deutschland
henriette,6,henriette straße,Deutschland
hanna,6,hanna weg,Deutschland
"l5,",6,"l5, 6",Deutschland
märker,6,märker  weg,Deutschland
nicolaus,6,nicolaus dreyse  straße,Deutschland
fischer,6,fischer weg,Deutschland
sielower,6,sielower wald weg,Deutschland
dessauer,6,dessauer  weg,Deutschland
freie,7,freie weg,Deutschland
prenzlauer,7,prenzlauer  weg,Deutschland
steiner,7,steiner  weg,Deutschland
mark,7,mark weg,Deutschland
meyer,7,meyer zur müdehorst  weg,Deutschland
schulte,7,schulte vom brühl,Deutschland
frankfurter,7,frankfurter  weg,Deutschland
bettina,7,bettina weg,Deutschland
neusser,7,neusser weyhe,Deutschland
breslauer,7,breslauer  weg,Deutschland
gräfin,7,gräfin linden  weg,Deutschland
henry,7,henry van de velde  straße,Deutschland
heilig,7,heilig kreuz  weg,Deutschland
horster,7,horster viereck,Deutschland
bezirk,7,bezirk straße,Deutschland
eicher,7,eicher  weg,Deutschland
egon,7,egon tschirch  weg,Deutschland
broicher,7,broicher  weg,Deutschland
steinbacher,7,steinbacher  weg,Deutschland
moltke,7,moltke  straße,Deutschland
vinzenz,7,vinzenz paul  straße,Deutschland
zeller,7,zeller  weg,Deutschland
brühler,7,brühler  weg,Deutschland
forsthaus,7,forsthaus weg,Deutschland
ulmer,7,ulmer  weg,Deutschland
senator,7,senator wentz  straße,Deutschland
xaver,7,xaver weismor  straße,Deutschland
schönauer,7,schönauer  weg,Deutschland
leipziger,7,leipziger  weg,Deutschland
kilian,7,kilian weber  straße,Deutschland
san,7,san vito dei normanni  straße,Deutschland
curt,7,curt tausch  straße,Deutschland
wald,7,wald weg zum bad,Deutschland
jung,7,jung straße,Deutschland
krummer,7,krummer  weg,Deutschland
wiener,7,wiener  weg,Deutschland
berner,7,berner  weg,Deutschland
brandenburger,7,brandenburger  weg,Deutschland
aachener,7,aachener  weg,Deutschland
rather,7,rather  weg,Deutschland
stettiner,7,stettiner  weg,Deutschland
insel,7,insel weg,Deutschland
norder,7,norder wung,Deutschland
saint,7,saint sever  straße,Deutschland
aloys,7,aloys wittrup  straße,Deutschland
günther,7,günther weisenborn  straße,Deutschland
bundes,7,bundes weg,Deutschland
verlängerte,7,verlängerte zeschen straße,Deutschland
auer,7,auer  weg,Deutschland
wandsbeker,7,wandsbeker zoll straße,Deutschland
meißner,7,meißner  straße,Deutschland
ketteler,7,ketteler  weg,Deutschland
berg,7,berg weg,Deutschland
bonner,7,bonner wall,Deutschland
neues,7,neues ufer,Deutschland
zeppelin,7,zeppelin weg,Deutschland
lütt,7,lütt steenbusch,Deutschland
regina,7,regina weg,Deutschland
spitz,7,spitz weg straße,Deutschland
lütke,7,lütke straße,Deutschland
lübecker,7,lübecker  weg,Deutschland
louise,7,louise seidler  straße,Deutschland
lukas,7,lukas  weg,Deutschland
bucher,7,bucher  straße,Deutschland
albin,7,albin straße,Deutschland
william,7,william zipperer  straße,Deutschland
annen,7,annen  weg,Deutschland
kanal,8,kanal weg ost,Deutschland
alten,8,alten  straße,Deutschland
sepp,8,sepp verscht  straße,Deutschland
veit,8,veit straße,Deutschland
viktor,8,viktor unruh  straße,Deutschland
galen,8,galen  straße,Deutschland
niendorfer,8,niendorfer  weg,Deutschland
rudi,8,rudi wünzer  straße,Deutschland
ursula,8,ursula hattenberg  weg,Deutschland
erna,8,erna wachter  straße,Deutschland
landrat,8,landrat laer  straße,Deutschland
hohle,8,hohle weg,Deutschland
kantor,8,kantor wurm  straße,Deutschland
kirchröttenbach,8,kirchröttenbach g,Deutschland
konsul,8,konsul wester  straße,Deutschland
glückauf,8,glückauf  weg,Deutschland
koch,8,koch  straße,Deutschland
fanny,8,fanny niggl  straße,Deutschland
artur,8,artur platz  weg,Deutschland
dorf,8,dorf weg,Deutschland
diedrich,8,diedrich wilkens  straße,Deutschland
baroper,8,baroper  straße,Deutschland
else,8,else rosenfeld  straße,Deutschland
theo,8,theo vondano  straße,Deutschland
kleines,8,kleines  wegfährels,Deutschland
huber,8,huber  straße,Deutschland
schultheiß,8,schultheiß trautz  straße,Deutschland
förster,8,förster weg,Deutschland
waller,8,waller  weg,Deutschland
manfred,8,manfred richthofen  straße,Deutschland
erhard,8,erhard uhlig  straße,Deutschland
frank,8,frank  straße,Deutschland
holsteiner,8,holsteiner weide,Deutschland
reinhard,8,reinhard frank  straße,Deutschland
franziska,8,franziska hohenheim  straße,Deutschland
elly,8,elly ney  straße,Deutschland
saseler,8,saseler  weg,Deutschland
lina,8,lina wehrle  straße,Deutschland
stein,9,stein  weg,Deutschland
elsa,9,elsa weg,Deutschland
nördliche,9,nördliche wald straße,Deutschland
jörg,9,jörg zürn  straße,Deutschland
adolph,9,adolph welte  weg,Deutschland
neben,9,neben weg,Deutschland
schweizer,9,schweizer wiese,Deutschland
neustädter,9,neustädter  straße,Deutschland
potsdamer,9,potsdamer  weg,Deutschland
königsberger,9,königsberger  weg,Deutschland
burger,9,burger  straße,Deutschland
gebhard,9,gebhard  straße,Deutschland
jacob,9,jacob winter platz,Deutschland
Östliche,9,Östliche stadtmauer straße,Deutschland
benedikt,9,benedikt  straße,Deutschland
schwarzer,9,schwarzer  weg,Deutschland
zeche,9,zeche scharnhorst,Deutschland
emma,9,emma weg,Deutschland
maximilian,9,maximilian welsch  straße,Deutschland
engelbert,9,engelbert  straße,Deutschland
propst,9,propst weg,Deutschland
auguste,9,auguste viktoria  straße,Deutschland
kölner,9,kölner  weg,Deutschland
georgen,9,georgen  straße,Deutschland
annette,9,annette droste  straße,Deutschland
mainzer,9,mainzer  weg,Deutschland
bornsdorf,9,bornsdorf siedlung,Deutschland
paula,9,paula thiede ufer,Deutschland
arno,9,arno schreiter  straße,Deutschland
ewald,9,ewald straße,Deutschland
probst,9,probst weg,Deutschland
ida,9,ida straße,Deutschland
markt,9,markt weg,Deutschland
lehrer,9,lehrer wirth  straße,Deutschland
schloß,9,schloß westhusener  straße,Deutschland
horn,9,horn werner  straße,Deutschland
hörder,10,hörder  straße,Deutschland
magdeburger,10,magdeburger tor,Deutschland
edith,10,edith straße,Deutschland
hildegard,10,hildegard bingen  weg,Deutschland
kurzer,10,kurzer  weg,Deutschland
schulze,10,schulze westerath  straße,Deutschland
florian,10,florian  weg,Deutschland
margarete,10,margarete wolf schlomm  straße,Deutschland
ignaz,10,ignaz wolf  straße,Deutschland
bremer,10,bremer  weg,Deutschland
privat,10,privat weg,Deutschland
caspar,10,caspar voght  straße,Deutschland
droste,10,droste  straße,Deutschland
birkenweiler,10,birkenweiler 9 garten weg,Deutschland
martha,10,martha wissmann platz,Deutschland
james,10,james  straße,Deutschland
christine,10,christine zeiske  weg,Deutschland
david,11,david straße,Deutschland
hildesheimer,11,hildesheimer  weg,Deutschland
allee,11,allee weg,Deutschland
meister,11,meister weg,Deutschland
victor,11,victor scheffel  straße,Deutschland
rektor,11,rektor rose  weg,Deutschland
münchner,11,münchner  weg,Deutschland
moritz,11,moritz  straße,Deutschland
gottlob,11,gottlob wagner  straße,Deutschland
erika,11,erika weg,Deutschland
vogt,11,vogt wells  straße,Deutschland
general,11,general woyna  straße,Deutschland
schmidt,11,schmidt  straße,Deutschland
hamburger,11,hamburger tor  straße,Deutschland
claus,11,claus wiese  straße,Deutschland
conrad,12,conrad wilhelm hase platz,Deutschland
brüder,12,brüder winter  straße,Deutschland
berthold,12,berthold  straße,Deutschland
bertha,12,bertha suttner  weg,Deutschland
mathias,12,mathias weg,Deutschland
reinhold,12,reinhold würth  straße,Deutschland
rosa,12,rosa straße,Deutschland
südliche,12,südliche wambacher  straße,Deutschland
müller,12,müller  weg,Deutschland
kapitän,12,kapitän schiller  straße,Deutschland
daniel,12,daniel wilhelm beck  straße,Deutschland
kaspar,12,kaspar zeuß  weg,Deutschland
valentin,12,valentin weg,Deutschland
schwester,12,schwester wiedemann  straße,Deutschland
hein,12,hein weg,Deutschland
edmund,13,edmund zimmermann  straße,Deutschland
schwarze,13,schwarze weg,Deutschland
stefan,13,stefan  straße,Deutschland
oswald,13,oswald  straße,Deutschland
benno,13,benno weg,Deutschland
könig,13,könig wilhelm  straße,Deutschland
katharina,13,katharina,Deutschland
klara,13,klara  weg,Deutschland
haupt,13,haupt weg,Deutschland
herrmann,13,herrmann wäschke  weg,Deutschland
sophie,13,sophie la roche  weg,Deutschland
jan,13,jan wellem  straße,Deutschland
bahnhof,13,bahnhof weidenau,Deutschland
dietrich,13,dietrich  straße,Deutschland
zwischen,13,zwischen weg,Deutschland
berger,13,berger  straße,Deutschland
barbara,13,barbara  weg,Deutschland
geschwister,13,geschwister vömel  weg,Deutschland
oberes,13,oberes tor,Deutschland
fürst,14,fürst wilhelm  straße,Deutschland
justus,14,justus weg,Deutschland
nieder,14,nieder werber  straße,Deutschland
stephan,15,stephan  straße,Deutschland
gottlieb,15,gottlieb straße,Deutschland
joachim,15,joachim straße,Deutschland
clara,15,clara zetkin  straße,Deutschland
eberhard,15,eberhard  weg,Deutschland
adalbert,15,adalbert straße/isabella straße,Deutschland
hubert,15,hubert  straße,Deutschland
hedwig,15,hedwig  straße,Deutschland
balthasar,15,balthasar wolff  straße,Deutschland
horst,15,horst weg,Deutschland
stauffenberg,15,stauffenberg  weg,Deutschland
dekan,16,dekan wagner  straße,Deutschland
clemens,16,clemens  straße,Deutschland
helmut,16,helmut werner  weg,Deutschland
klaus,16,klaus wehrend  weg,Deutschland
käthe,16,käthe straße,Deutschland
alfons,16,alfons straße,Deutschland
gertrud,16,gertrud le fort  weg,Deutschland
johanna,16,johanna weg,Deutschland
hammer,17,hammer  weg,Deutschland
achtern,17,achtern straße,Deutschland
hanns,17,hanns seidel  straße,Deutschland
simon,17,simon utrecht  straße,Deutschland
john,18,john wiles  straße,Deutschland
freiherr,18,freiherr varnbüler  straße,Deutschland
arnold,18,arnold  straße,Deutschland
jürgen,18,jürgen  weg,Deutschland
alois,18,alois wunder  straße,Deutschland
erwin,19,erwin vornberger platz,Deutschland
gebrüder,19,gebrüder woge  straße,Deutschland
jean,20,jean  straße,Deutschland
hinterer,20,hinterer zwinger,Deutschland
walther,20,walther der vogelweide  straße,Deutschland
kardinal,20,kardinal wendel  straße,Deutschland
sebastian,20,sebastian weg,Deutschland
siegfried,20,siegfried witte  straße,Deutschland
berliner,20,berliner  weg,Deutschland
leo,20,leo hochreiter  weg,Deutschland
lorenz,20,lorenz gegentrum,Deutschland
altes,20,altes zeughausgäßchen,Deutschland
felix,21,felix weise  straße,Deutschland
ritter,21,ritter weg,Deutschland
pater,21,pater wilhelm fink  straße,Deutschland
leonhard,21,leonhard  straße,Deutschland
luise,21,luise zietz  straße,Deutschland
roter,21,roter weingarten weg,Deutschland
helene,22,helene wessel  straße,Deutschland
christoph,22,christoph willi gehring  straße,Deutschland
leopold,22,leopold zunz  weg,Deutschland
grüner,23,grüner winkel,Deutschland
mittlerer,23,mittlerer  weg,Deutschland
mittlere,23,mittlere zwinger straße,Deutschland
arthur,23,arthur winkler  straße,Deutschland
matthias,23,matthias  straße,Deutschland
alexander,23,alexander  straße,Deutschland
agnes,23,agnes wyssach  straße,Deutschland
louis,23,louis uekermann  weg,Deutschland
marie,24,marie zehetmaier  straße,Deutschland
prinz,24,prinz wilhelm damm,Deutschland
prälat,24,prälat zistl  straße,Deutschland
rote,25,rote wegsbreite,Deutschland
albrecht,26,albrecht  straße,Deutschland
gerhard,27,gerhard  straße,Deutschland
bruno,28,bruno  straße,Deutschland
kaiser,29,kaiser wilhelm  straße,Deutschland
herbert,29,herbert jordan  straße,Deutschland
dechant,29,dechant wirtz  straße,Deutschland
willy,31,willy spilling  weg,Deutschland
heinz,32,heinz wutkewicz  weg,Deutschland
nikolaus,32,nikolaus  straße,Deutschland
herzog,32,herzog wilhelm  straße,Deutschland
platz,33,platz zur alten brücke,Deutschland
wolfgang,33,wolfgang wilhelm  straße,Deutschland
ulrich,33,ulrich weg,Deutschland
gottfried,33,gottfried  straße,Deutschland
eugen,33,eugen zur nieden ring,Deutschland
haus,35,haus vorster  straße,Deutschland
adam,38,adam göbel ring,Deutschland
elisabeth,38,elisabeth  straße,Deutschland
oskar,38,oskar winter  straße,Deutschland
thomas,39,thomas wimmer  straße,Deutschland
hof,39,hof zur schanze,Deutschland
andreas,39,andreas  straße,Deutschland
willi,40,willi wörner  weg,Deutschland
abt,40,abt wolfram ring,Deutschland
bischof,41,bischof wolfger  straße,Deutschland
pastor,42,pastor  straße,Deutschland
philipp,42,philipp zimmermann  straße,Deutschland
bernhard,44,bernhard  straße,Deutschland
anna,45,anna  weg,Deutschland
hugo,49,hugo wolf  weg,Deutschland
ferdinand,52,ferdinand wilhelm fricke  weg,Deutschland
michael,54,michael  straße,Deutschland
eduard,55,eduard windthorst  straße,Deutschland
werner,56,werner witt  straße,Deutschland
joseph,58,joseph  straße,Deutschland
christian,60,christian seidl  weg,Deutschland
konrad,61,konrad  straße,Deutschland
maria,66,maria wimmer  straße,Deutschland
kurt,67,kurt huber  straße,Deutschland
erich,67,erich zeitler  straße,Deutschland
jakob,74,jakob  straße,Deutschland
julius,77,julius wolff  straße,Deutschland
emil,79,emil zimmermann allee,Deutschland
alfred,82,alfred schwab platz,Deutschland
martin,83,martin  weg,Deutschland
anton,86,anton  straße,Deutschland
adolf,87,adolf  straße,Deutschland
richard,88,richard zimmermann  straße,Deutschland
johannes,95,johannes  straße,Deutschland
walter,100,walter zeidler  straße,Deutschland
theodor,100,theodor wiedemann  straße,Deutschland
albert,108,albert  straße,Deutschland
rudolf,115,rudolf zorn  straße,Deutschland
robert,119,robert zapp  straße,Deutschland
gustav,120,gustav zindel  straße,Deutschland
peter,143,peter  straße,Deutschland
august,145,august stumpf  straße,Deutschland
josef,159,josef  straße,Deutschland
paul,163,paul  straße,Deutschland
ludwig,167,ludwig  straße,Deutschland
fritz,169,fritz zubeil  straße,Deutschland
max,172,max lange platz,Deutschland
johann,183,johann  straße,Deutschland
ernst,189,ernst nathan  straße,Deutschland
carl,189,carl langhein  weg,Deutschland
franz,202,franz zebisch  straße,Deutschland
otto,209,otto hupp  straße,Deutschland
georg,211,georg  weg,Deutschland
hermann,236,hermann klare  straße,Deutschland
hans,249,hans zinser  straße,Deutschland
friedrich,266,friedrich hoffmann  straße,Deutschland
wilhelm,326,wilhelm zwölfer  straße,Deutschland
heinrich,331,heinrich  straße,Deutschland
karl,376,karl  straße,Deutschland
